Sequence,Date of Collection,Clade
seq_1701,2021-08-26,21J (Delta)
seq_1702,2021-08-26,21J (Delta)
seq_1703,2021-08-25,21J (Delta)
seq_1704,2021-08-25,21J (Delta)
seq_1705,2021-08-26,21J (Delta)
seq_1706,2021-08-26,21J (Delta)
seq_1707,2021-08-26,21J (Delta)
seq_1708,2021-08-26,21J (Delta)
seq_1709,2021-08-26,21J (Delta)
seq_1710,2021-08-26,21J (Delta)
seq_1711,2021-08-26,21J (Delta)
seq_1712,2021-08-26,21J (Delta)
seq_1713,2021-08-25,21J (Delta)
seq_1714,2021-08-26,21J (Delta)
seq_1715,2021-08-25,21J (Delta)
seq_1716,2021-08-26,21J (Delta)
seq_1717,2021-08-25,21J (Delta)
seq_1718,2021-08-26,21J (Delta)
seq_1719,2021-08-25,21J (Delta)
seq_1720,2021-08-26,21J (Delta)
seq_1721,2021-08-26,21J (Delta)
seq_1722,2021-08-25,21J (Delta)
seq_1723,2021-08-25,21J (Delta)
seq_1724,2021-08-26,21J (Delta)
seq_1725,2021-08-26,21J (Delta)
seq_1726,2021-08-26,21I (Delta)
seq_1727,2021-08-26,21J (Delta)
seq_1728,2021-08-25,21J (Delta)
seq_1729,2021-08-26,21J (Delta)
seq_1730,2021-08-26,21J (Delta)
seq_1731,2021-08-26,21J (Delta)
seq_1732,2021-08-25,21J (Delta)
seq_1733,2021-08-26,21J (Delta)
seq_1734,2021-08-26,21J (Delta)
seq_1735,2021-08-26,21J (Delta)
seq_1736,2021-08-26,21J (Delta)
seq_1737,2021-08-26,21J (Delta)
seq_1738,2021-08-25,21J (Delta)
seq_1739,2021-08-26,21J (Delta)
seq_1740,2021-08-25,21J (Delta)
seq_1741,2021-08-26,21J (Delta)
seq_1742,2021-08-25,21J (Delta)
seq_1743,2021-08-25,21J (Delta)
seq_1744,2021-08-25,21J (Delta)
seq_1745,2021-08-26,21J (Delta)
seq_1746,2021-08-26,21J (Delta)
seq_1747,2021-08-25,21J (Delta)
seq_1748,2021-08-26,21J (Delta)
seq_1749,2021-08-26,21J (Delta)
seq_1750,2021-08-26,21J (Delta)
seq_1751,2021-08-26,21J (Delta)
seq_1752,2021-08-25,21J (Delta)
seq_1753,2021-08-26,21J (Delta)
seq_1754,2021-08-26,21J (Delta)
seq_1755,2021-09-04,21J (Delta)
seq_1756,2021-09-06,21J (Delta)
seq_1757,2021-09-03,21J (Delta)
seq_1758,2021-09-04,21J (Delta)
seq_1759,2021-09-05,21I (Delta)
seq_1760,2021-09-05,21J (Delta)
seq_1761,2021-09-03,21A (Delta)
seq_1762,2021-08-31,21J (Delta)
seq_1763,2021-09-02,21J (Delta)
seq_1764,2021-09-03,21J (Delta)
seq_1765,2021-09-05,21J (Delta)
seq_1766,2021-09-02,21J (Delta)
seq_1767,2021-09-03,21J (Delta)
seq_1768,2021-09-05,21J (Delta)
seq_1769,2021-09-05,21J (Delta)
seq_1770,2021-09-03,21I (Delta)
seq_1771,2021-09-03,21J (Delta)
seq_1772,2021-09-06,21J (Delta)
seq_1773,2021-09-07,21J (Delta)
seq_1774,2021-09-03,21I (Delta)
seq_1775,2021-08-31,21A (Delta)
seq_1776,2021-09-05,21J (Delta)
seq_1777,2021-09-04,21J (Delta)
seq_1778,2021-09-02,21J (Delta)
seq_1779,2021-09-05,21J (Delta)
seq_1780,2021-09-06,21J (Delta)
seq_1781,2021-09-05,21A (Delta)
seq_1782,2021-09-04,21J (Delta)
seq_1783,2021-09-03,21J (Delta)
seq_1784,2021-09-06,21J (Delta)
seq_1785,2021-09-01,21J (Delta)
seq_1786,2021-09-03,21J (Delta)
seq_1787,2021-09-05,21J (Delta)
seq_1788,2021-09-06,21J (Delta)
seq_1789,2021-09-06,21J (Delta)
seq_1790,2021-09-03,21J (Delta)
seq_1791,2021-09-02,21J (Delta)
seq_1792,2021-09-01,21J (Delta)
seq_1793,2021-09-03,21I (Delta)
seq_1794,2021-09-01,21J (Delta)
seq_1795,2021-09-01,21J (Delta)
seq_1796,2021-09-07,21J (Delta)
seq_1797,2021-09-05,21J (Delta)
seq_1798,2021-09-05,21J (Delta)
seq_1799,2021-09-07,21J (Delta)
seq_1800,2021-09-05,21J (Delta)
seq_1801,2021-09-06,21J (Delta)
seq_1802,2021-09-07,21J (Delta)
seq_1803,2021-09-04,21J (Delta)
seq_1804,2021-09-03,21J (Delta)
seq_1805,2021-09-07,21J (Delta)
seq_1806,2021-09-03,21J (Delta)
seq_1807,2021-09-05,21J (Delta)
seq_1808,2021-08-31,21I (Delta)
seq_1809,2021-09-02,21J (Delta)
seq_1810,2021-09-07,21J (Delta)
seq_1811,2021-09-06,21J (Delta)
seq_1812,2021-09-06,21J (Delta)
seq_1813,2021-09-07,21J (Delta)
seq_1814,2021-09-02,21J (Delta)
seq_1815,2021-09-03,21J (Delta)
seq_1816,2021-09-03,21J (Delta)
seq_1817,2021-09-03,21J (Delta)
seq_1818,2021-09-05,21J (Delta)
seq_1819,2021-09-02,21J (Delta)
seq_1820,2021-08-31,21J (Delta)
seq_1821,2021-09-07,21J (Delta)
seq_1822,2021-09-07,21J (Delta)
seq_1823,2021-09-01,21J (Delta)
seq_1824,2021-09-02,21A (Delta)
seq_1825,2021-09-06,21J (Delta)
seq_1826,2021-09-02,21J (Delta)
seq_1827,2021-09-02,21I (Delta)
seq_1828,2021-09-06,21J (Delta)
seq_1829,2021-09-07,21J (Delta)
seq_1830,2021-09-05,21J (Delta)
seq_1831,2021-09-03,21J (Delta)
seq_1832,2021-09-01,21J (Delta)
seq_1833,2021-09-02,21J (Delta)
seq_1834,2021-08-31,21J (Delta)
seq_1835,2021-08-31,21J (Delta)
seq_1836,2021-09-05,21I (Delta)
seq_1837,2021-09-05,21J (Delta)
seq_1838,2021-09-02,21J (Delta)
seq_1839,2021-09-05,21J (Delta)
seq_1840,2021-09-06,21I (Delta)
seq_1841,2021-09-06,21I (Delta)
seq_1842,2021-09-02,21A (Delta)
seq_1843,2021-09-03,21J (Delta)
seq_1844,2021-09-06,21J (Delta)
seq_1845,2021-09-02,21J (Delta)
seq_1846,2021-09-02,21J (Delta)
seq_1847,2021-09-06,21J (Delta)
seq_1848,2021-09-06,21J (Delta)
seq_1849,2021-09-07,21J (Delta)
seq_1850,2021-09-07,21J (Delta)
seq_1851,2021-09-05,21J (Delta)
seq_1852,2021-09-07,21J (Delta)
seq_1853,2021-09-06,21J (Delta)
seq_1854,2021-09-02,21J (Delta)
seq_1855,2021-09-03,21J (Delta)
seq_1856,2021-09-03,21J (Delta)
seq_1857,2021-08-31,21J (Delta)
seq_1858,2021-09-06,21J (Delta)
seq_1859,2021-09-05,21J (Delta)
seq_1860,2021-09-03,21J (Delta)
seq_1861,2021-09-03,21I (Delta)
seq_1862,2021-09-02,21J (Delta)
seq_1863,2021-09-03,21J (Delta)
seq_1864,2021-09-03,21J (Delta)
seq_1865,2021-09-02,21J (Delta)
seq_1866,2021-09-03,21J (Delta)
seq_1867,2021-09-04,21J (Delta)
seq_1868,2021-09-04,21J (Delta)
seq_1869,2021-09-05,21A (Delta)
seq_1870,2021-09-02,21J (Delta)
seq_1871,2021-09-05,21I (Delta)
seq_1872,2021-09-06,21J (Delta)
seq_1873,2021-09-02,21J (Delta)
seq_1874,2021-09-02,21J (Delta)
seq_1875,2021-09-06,21J (Delta)
seq_1876,2021-09-06,21J (Delta)
seq_1877,2021-09-02,21J (Delta)
seq_1878,2021-09-05,21J (Delta)
seq_1879,2021-09-06,21J (Delta)
seq_1880,2021-09-06,21J (Delta)
seq_1881,2021-09-07,21J (Delta)
seq_1882,2021-09-06,21A (Delta)
seq_1883,2021-09-02,21J (Delta)
seq_1884,2021-09-05,21I (Delta)
seq_1885,2021-09-02,21J (Delta)
seq_1886,2021-09-03,21I (Delta)
seq_1887,2021-09-02,21G (Lambda)
seq_1888,2021-09-05,21J (Delta)
seq_1889,2021-09-02,21J (Delta)
seq_1890,2021-09-02,21J (Delta)
seq_1891,2021-09-07,21J (Delta)
seq_1892,2021-09-05,21J (Delta)
seq_1893,2021-09-06,21J (Delta)
seq_1894,2021-09-06,21J (Delta)
seq_1895,2021-09-02,21J (Delta)
seq_1896,2021-09-03,21J (Delta)
seq_1897,2021-09-06,21J (Delta)
seq_1898,2021-09-07,21J (Delta)
seq_1899,2021-09-06,21J (Delta)
seq_1900,2021-09-03,21J (Delta)
seq_1901,2021-09-02,21J (Delta)
seq_1902,2021-09-03,21J (Delta)
seq_1903,2021-09-06,21I (Delta)
seq_1904,2021-09-06,21A (Delta)
seq_1905,2021-09-04,21J (Delta)
seq_1906,2021-09-05,21J (Delta)
seq_1907,2021-09-06,21J (Delta)
seq_1908,2021-09-03,21J (Delta)
seq_1909,2021-09-06,21J (Delta)
seq_1910,2021-09-05,21A (Delta)
seq_1911,2021-09-07,21I (Delta)
seq_1912,2021-09-06,21A (Delta)
seq_1913,2021-09-07,21J (Delta)
seq_1914,2021-09-06,21A (Delta)
seq_1915,2021-09-07,21J (Delta)
seq_1916,2021-09-07,21J (Delta)
seq_1917,2021-09-05,21J (Delta)
seq_1918,2021-08-31,21J (Delta)
seq_1919,2021-09-06,21J (Delta)
seq_1920,2021-09-07,21J (Delta)
seq_1921,2021-09-03,21I (Delta)
seq_1922,2021-09-06,21J (Delta)
seq_1923,2021-09-07,21J (Delta)
seq_1924,2021-09-03,21J (Delta)
seq_1925,2021-09-02,21J (Delta)
seq_1926,2021-09-05,21J (Delta)
seq_1927,2021-09-05,21J (Delta)
seq_1928,2021-08-31,21J (Delta)
seq_1929,2021-09-07,21J (Delta)
seq_1930,2021-09-05,21J (Delta)
seq_1931,2021-09-05,21J (Delta)
seq_1932,2021-09-03,21J (Delta)
seq_1933,2021-09-05,21J (Delta)
seq_1934,2021-09-05,21J (Delta)
seq_1935,2021-09-02,21J (Delta)
seq_1936,2021-09-07,21J (Delta)
seq_1937,2021-09-03,21J (Delta)
seq_1938,2021-09-06,21J (Delta)
seq_1939,2021-09-05,21J (Delta)
seq_1940,2021-09-06,21J (Delta)
seq_1941,2021-09-03,21J (Delta)
seq_1942,2021-09-06,21J (Delta)
seq_1943,2021-09-06,21J (Delta)
seq_1944,2021-09-03,21J (Delta)
seq_1945,2021-09-07,21I (Delta)
seq_1946,2021-09-03,21J (Delta)
seq_1947,2021-09-05,21J (Delta)
seq_1948,2021-09-07,21J (Delta)
seq_1949,2021-09-02,21J (Delta)
seq_1950,2021-09-05,21J (Delta)
seq_1951,2021-09-06,21J (Delta)
seq_1952,2021-09-06,21J (Delta)
seq_1953,2021-09-03,21J (Delta)
seq_1954,2021-09-02,21J (Delta)
seq_1955,2021-09-07,21I (Delta)
seq_1956,2021-09-02,21J (Delta)
seq_1957,2021-09-02,21J (Delta)
seq_1958,2021-09-03,21A (Delta)
seq_1959,2021-08-31,21J (Delta)
seq_1960,2021-09-02,21J (Delta)
seq_1961,2021-09-03,21J (Delta)
seq_1962,2021-09-02,21J (Delta)
seq_1963,2021-08-31,21J (Delta)
seq_1964,2021-09-06,21I (Delta)
seq_1965,2021-09-02,21I (Delta)
seq_1966,2021-09-03,21J (Delta)
seq_1967,2021-09-03,21J (Delta)
seq_1968,2021-09-05,21J (Delta)
seq_1969,2021-09-02,21I (Delta)
seq_1970,2021-09-07,21J (Delta)
seq_1971,2021-09-03,21J (Delta)
seq_1972,2021-09-05,21J (Delta)
seq_1973,2021-09-05,21J (Delta)
seq_1974,2021-09-03,21J (Delta)
seq_1975,2021-09-02,21I (Delta)
seq_1976,2021-09-03,21J (Delta)
seq_1977,2021-09-03,21J (Delta)
seq_1978,2021-08-31,21I (Delta)
seq_1979,2021-09-06,21J (Delta)
seq_1980,2021-09-02,21J (Delta)
seq_1981,2021-09-03,21J (Delta)
seq_1982,2021-09-06,21J (Delta)
seq_1983,2021-09-03,21J (Delta)
seq_1984,2021-09-06,21J (Delta)
seq_1985,2021-09-05,21J (Delta)
seq_1986,2021-09-02,21J (Delta)
seq_1987,2021-09-02,21J (Delta)
seq_1988,2021-09-05,21J (Delta)
seq_1989,2021-09-06,21J (Delta)
seq_1990,2021-09-02,21J (Delta)
seq_1991,2021-09-02,21J (Delta)
seq_1992,2021-09-02,21J (Delta)
seq_1993,2021-09-03,21J (Delta)
seq_1994,2021-09-03,21J (Delta)
seq_1995,2021-09-06,21J (Delta)
seq_1996,2021-09-05,21J (Delta)
seq_1997,2021-09-07,21I (Delta)
seq_1998,2021-09-02,21J (Delta)
seq_1999,2021-09-05,21J (Delta)
seq_2000,2021-09-06,21J (Delta)
seq_2001,2021-09-03,21J (Delta)
seq_2002,2021-09-03,21J (Delta)
seq_2003,2021-09-06,21J (Delta)
seq_2004,2021-09-03,21I (Delta)
seq_2005,2021-09-03,21J (Delta)
seq_2006,2021-09-06,21J (Delta)
seq_2007,2021-09-03,21J (Delta)
seq_2008,2021-09-06,21J (Delta)
seq_2009,2021-09-03,21I (Delta)
seq_2010,2021-09-03,21J (Delta)
seq_2011,2021-09-06,21J (Delta)
seq_2012,2021-09-03,21J (Delta)
seq_2013,2021-09-03,21J (Delta)
seq_2014,2021-09-03,21A (Delta)
seq_2015,2021-09-03,21J (Delta)
seq_2016,2021-09-06,21J (Delta)
seq_2017,2021-09-03,21J (Delta)
seq_2018,2021-09-06,21J (Delta)
seq_2019,2021-09-03,21J (Delta)
seq_2020,2021-09-06,21J (Delta)
seq_2021,2021-09-05,21J (Delta)
seq_2022,2021-09-06,21I (Delta)
seq_2023,2021-09-03,21I (Delta)
seq_2024,2021-09-03,21J (Delta)
seq_2025,2021-09-02,21J (Delta)
seq_2026,2021-09-03,21J (Delta)
seq_2027,2021-09-03,21J (Delta)
seq_2028,2021-09-06,21J (Delta)
seq_2029,2021-09-03,21J (Delta)
seq_2030,2021-09-06,21J (Delta)
seq_2031,2021-09-03,21J (Delta)
seq_2032,2021-09-03,21J (Delta)
seq_2033,2021-09-03,21I (Delta)
seq_2034,2021-09-06,21J (Delta)
seq_2035,2021-09-03,21J (Delta)
seq_2036,2021-09-05,21J (Delta)
seq_2037,2021-09-03,21J (Delta)
seq_2038,2021-09-03,21J (Delta)
seq_2039,2021-09-03,21J (Delta)
seq_2040,2021-09-06,21J (Delta)
seq_2041,2021-09-06,21A (Delta)
seq_2042,2021-09-03,21J (Delta)
seq_2043,2021-09-03,21J (Delta)
seq_2044,2021-09-06,21J (Delta)
seq_2045,2021-09-05,21J (Delta)
seq_2046,2021-09-05,21J (Delta)
seq_2047,2021-09-03,21J (Delta)
seq_2048,2021-09-03,21J (Delta)
seq_2049,2021-09-03,21J (Delta)
seq_2050,2021-09-05,21J (Delta)
seq_2051,2021-09-03,21J (Delta)
seq_2052,2021-09-03,21J (Delta)
seq_2053,2021-09-06,21J (Delta)
seq_2054,2021-09-06,21J (Delta)
seq_2055,2021-09-05,21J (Delta)
seq_2056,2021-09-05,21J (Delta)
seq_2057,2021-09-03,21J (Delta)
seq_2058,2021-09-03,21J (Delta)
seq_2059,2021-09-05,21J (Delta)
seq_2060,2021-09-03,21J (Delta)
seq_2061,2021-09-03,21J (Delta)
seq_2062,2021-09-03,21J (Delta)
seq_2063,2021-09-05,21J (Delta)
seq_2064,2021-09-05,21A (Delta)
seq_2065,2021-09-16,21J (Delta)
seq_2066,2021-09-17,21J (Delta)
seq_2067,2021-09-15,21J (Delta)
seq_2068,2021-09-16,21J (Delta)
seq_2069,2021-09-14,21J (Delta)
seq_2070,2021-09-14,21J (Delta)
seq_2071,2021-09-15,21J (Delta)
seq_2072,2021-09-16,21J (Delta)
seq_2073,2021-09-16,21J (Delta)
seq_2074,2021-09-15,21J (Delta)
seq_2075,2021-09-15,21J (Delta)
seq_2076,2021-09-16,21J (Delta)
seq_2077,2021-09-16,21J (Delta)
seq_2078,2021-09-16,21J (Delta)
seq_2079,2021-09-16,21J (Delta)
seq_2080,2021-09-16,21J (Delta)
seq_2081,2021-09-17,21J (Delta)
seq_2082,2021-09-18,21J (Delta)
seq_2083,2021-09-17,21J (Delta)
seq_2084,2021-09-16,21J (Delta)
seq_2085,2021-09-15,21J (Delta)
seq_2086,2021-09-16,21J (Delta)
seq_2087,2021-09-15,21J (Delta)
seq_2088,2021-09-15,21J (Delta)
seq_2089,2021-09-15,21J (Delta)
seq_2090,2021-09-16,21J (Delta)
seq_2091,2021-09-16,21J (Delta)
seq_2092,2021-09-16,21J (Delta)
seq_2093,2021-09-17,21J (Delta)
seq_2094,2021-09-16,21J (Delta)
seq_2095,2021-09-16,21J (Delta)
seq_2096,2021-09-14,21J (Delta)
seq_2097,2021-09-16,21J (Delta)
seq_2098,2021-09-16,21J (Delta)
seq_2099,2021-09-16,21I (Delta)
seq_2100,2021-09-15,21J (Delta)
seq_2101,2021-09-16,21I (Delta)
seq_2102,2021-09-15,21J (Delta)
seq_2103,2021-09-16,21J (Delta)
seq_2104,2021-09-15,21J (Delta)
seq_2105,2021-09-16,21J (Delta)
seq_2106,2021-09-17,21J (Delta)
seq_2107,2021-09-16,21J (Delta)
seq_2108,2021-09-16,21J (Delta)
seq_2109,2021-09-16,21J (Delta)
seq_2110,2021-09-15,21J (Delta)
seq_2111,2021-09-15,21J (Delta)
seq_2112,2021-09-13,21J (Delta)
seq_2113,2021-09-14,21J (Delta)
seq_2114,2021-09-15,21J (Delta)
seq_2115,2021-09-16,21J (Delta)
seq_2116,2021-09-16,21J (Delta)
seq_2117,2021-09-18,21I (Delta)
seq_2118,2021-09-15,21J (Delta)
seq_2119,2021-09-14,21J (Delta)
seq_2120,2021-09-16,21J (Delta)
seq_2121,2021-09-16,21J (Delta)
seq_2122,2021-09-16,21I (Delta)
seq_2123,2021-09-16,21J (Delta)
seq_2124,2021-09-14,21J (Delta)
seq_2125,2021-09-14,21I (Delta)
seq_2126,2021-09-17,21J (Delta)
seq_2127,2021-09-16,21J (Delta)
seq_2128,2021-09-16,21A (Delta)
seq_2129,2021-09-16,21J (Delta)
seq_2130,2021-09-18,21I (Delta)
seq_2131,2021-09-17,21J (Delta)
seq_2132,2021-09-17,21J (Delta)
seq_2133,2021-09-16,21J (Delta)
seq_2134,2021-09-16,21J (Delta)
seq_2135,2021-09-16,21I (Delta)
seq_2136,2021-09-15,21J (Delta)
seq_2137,2021-09-15,21J (Delta)
seq_2138,2021-09-17,21J (Delta)
seq_2139,2021-09-18,21J (Delta)
seq_2140,2021-09-16,21J (Delta)
seq_2141,2021-09-15,21A (Delta)
seq_2142,2021-09-16,21J (Delta)
seq_2143,2021-09-16,21J (Delta)
seq_2144,2021-09-16,21J (Delta)
seq_2145,2021-09-15,21J (Delta)
seq_2146,2021-09-16,21J (Delta)
seq_2147,2021-09-16,21J (Delta)
seq_2148,2021-09-16,21J (Delta)
seq_2149,2021-09-14,21I (Delta)
seq_2150,2021-09-13,21I (Delta)
seq_2151,2021-09-15,21J (Delta)
seq_2152,2021-09-16,21J (Delta)
seq_2153,2021-09-15,21J (Delta)
seq_2154,2021-09-16,21J (Delta)
seq_2155,2021-09-15,21J (Delta)
seq_2156,2021-09-15,21J (Delta)
seq_2157,2021-09-16,21J (Delta)
seq_2158,2021-09-15,21J (Delta)
seq_2159,2021-09-17,21J (Delta)
seq_2160,2021-09-13,21J (Delta)
seq_2161,2021-09-16,21J (Delta)
seq_2162,2021-09-16,21J (Delta)
seq_2163,2021-09-16,21J (Delta)
seq_2164,2021-09-16,21J (Delta)
seq_2165,2021-09-16,21J (Delta)
seq_2166,2021-09-17,21J (Delta)
seq_2167,2021-09-15,21J (Delta)
seq_2168,2021-09-15,21J (Delta)
seq_2169,2021-09-15,21J (Delta)
seq_2170,2021-09-16,21I (Delta)
seq_2171,2021-09-16,21J (Delta)
seq_2172,2021-09-16,21J (Delta)
seq_2173,2021-09-16,21J (Delta)
seq_2174,2021-09-15,21J (Delta)
seq_2175,2021-09-15,21J (Delta)
seq_2176,2021-09-14,21J (Delta)
seq_2177,2021-09-15,21J (Delta)
seq_2178,2021-09-13,21J (Delta)
seq_2179,2021-09-15,21J (Delta)
seq_2180,2021-09-16,21J (Delta)
seq_2181,2021-09-16,21J (Delta)
seq_2182,2021-09-15,21J (Delta)
seq_2183,2021-09-16,21J (Delta)
seq_2184,2021-09-16,21J (Delta)
seq_2185,2021-09-16,21J (Delta)
seq_2186,2021-09-17,21J (Delta)
seq_2187,2021-09-15,21A (Delta)
seq_2188,2021-09-16,21I (Delta)
seq_2189,2021-09-15,21J (Delta)
seq_2190,2021-09-16,21J (Delta)
seq_2191,2021-09-16,21J (Delta)
seq_2192,2021-09-16,21I (Delta)
seq_2193,2021-09-15,21J (Delta)
seq_2194,2021-09-16,21I (Delta)
seq_2195,2021-09-14,21J (Delta)
seq_2196,2021-09-15,21J (Delta)
seq_2197,2021-09-15,21J (Delta)
seq_2198,2021-09-16,21J (Delta)
seq_2199,2021-09-15,21J (Delta)
seq_2200,2021-09-16,21J (Delta)
seq_2201,2021-09-16,21J (Delta)
seq_2202,2021-09-16,21J (Delta)
seq_2203,2021-09-16,21J (Delta)
seq_2204,2021-09-15,21J (Delta)
seq_2205,2021-09-16,21I (Delta)
seq_2206,2021-09-15,21J (Delta)
seq_2207,2021-09-14,21J (Delta)
seq_2208,2021-09-14,21J (Delta)
seq_2209,2021-09-16,21J (Delta)
seq_2210,2021-09-16,21J (Delta)
seq_2211,2021-09-16,21I (Delta)
seq_2212,2021-09-16,21J (Delta)
seq_2213,2021-09-16,21J (Delta)
seq_2214,2021-09-15,21J (Delta)
seq_2215,2021-09-16,21J (Delta)
seq_2216,2021-09-15,21J (Delta)
seq_2217,2021-09-17,21J (Delta)
seq_2218,2021-09-16,21J (Delta)
seq_2219,2021-09-16,21J (Delta)
seq_2220,2021-09-17,21J (Delta)
seq_2221,2021-09-16,21J (Delta)
seq_2222,2021-09-16,21J (Delta)
seq_2223,2021-09-16,21J (Delta)
seq_2224,2021-09-14,21J (Delta)
seq_2225,2021-09-14,21J (Delta)
seq_2226,2021-09-16,21J (Delta)
seq_2227,2021-09-15,21J (Delta)
seq_2228,2021-09-16,21J (Delta)
seq_2229,2021-09-15,21J (Delta)
seq_2230,2021-09-16,21J (Delta)
seq_2231,2021-09-16,21J (Delta)
seq_2232,2021-09-15,21J (Delta)
seq_2233,2021-09-15,21J (Delta)
seq_2234,2021-09-14,21J (Delta)
seq_2235,2021-09-13,21J (Delta)
seq_2236,2021-09-16,21J (Delta)
seq_2237,2021-09-17,21J (Delta)
seq_2238,2021-09-16,21J (Delta)
seq_2239,2021-09-13,21J (Delta)
seq_2240,2021-09-16,21J (Delta)
seq_2241,2021-09-16,21J (Delta)
seq_2242,2021-09-15,21J (Delta)
seq_2243,2021-09-16,21I (Delta)
seq_2244,2021-09-14,21J (Delta)
seq_2245,2021-09-16,21J (Delta)
seq_2246,2021-09-16,21J (Delta)
seq_2247,2021-09-16,21J (Delta)
seq_2248,2021-09-15,21J (Delta)
seq_2249,2021-09-16,21J (Delta)
seq_2250,2021-09-15,21J (Delta)
seq_2251,2021-09-17,21J (Delta)
seq_2252,2021-09-16,21J (Delta)
seq_2253,2021-09-17,21J (Delta)
seq_2254,2021-09-17,21J (Delta)
seq_2255,2021-09-17,21J (Delta)
seq_2256,2021-09-14,21J (Delta)
seq_2257,2021-09-17,21J (Delta)
seq_2258,2021-09-17,21J (Delta)
seq_2259,2021-09-18,21J (Delta)
seq_2260,2021-09-19,21I (Delta)
seq_2261,2021-09-17,21J (Delta)
seq_2262,2021-09-17,21I (Delta)
seq_2263,2021-09-17,21J (Delta)
seq_2264,2021-09-17,21J (Delta)
seq_2265,2021-09-15,21J (Delta)
seq_2266,2021-09-17,21J (Delta)
seq_2267,2021-09-14,21J (Delta)
seq_2268,2021-09-17,21J (Delta)
seq_2269,2021-09-17,21J (Delta)
seq_2270,2021-09-15,21J (Delta)
seq_2271,2021-09-18,21J (Delta)
seq_2272,2021-09-15,21J (Delta)
seq_2273,2021-09-19,21J (Delta)
seq_2274,2021-09-17,21J (Delta)
seq_2275,2021-09-15,21J (Delta)
seq_2276,2021-09-17,21A (Delta)
seq_2277,2021-09-15,21J (Delta)
seq_2278,2021-09-15,21J (Delta)
seq_2279,2021-09-13,21J (Delta)
seq_2280,2021-09-17,21J (Delta)
seq_2281,2021-09-16,21J (Delta)
seq_2282,2021-09-19,21J (Delta)
seq_2283,2021-09-15,21J (Delta)
seq_2284,2021-09-17,21J (Delta)
seq_2285,2021-09-17,21J (Delta)
seq_2286,2021-09-17,21J (Delta)
seq_2287,2021-09-16,21J (Delta)
seq_2288,2021-09-17,21J (Delta)
seq_2289,2021-09-18,21J (Delta)
seq_2290,2021-09-17,21J (Delta)
seq_2291,2021-09-17,21J (Delta)
seq_2292,2021-09-19,21J (Delta)
seq_2293,2021-09-17,21J (Delta)
seq_2294,2021-09-17,21J (Delta)
seq_2295,2021-09-15,21J (Delta)
seq_2296,2021-09-17,21I (Delta)
seq_2297,2021-09-17,21J (Delta)
seq_2298,2021-09-17,21J (Delta)
seq_2299,2021-09-17,21J (Delta)
seq_2300,2021-09-15,21J (Delta)
seq_2301,2021-09-15,21J (Delta)
seq_2302,2021-09-17,21J (Delta)
seq_2303,2021-09-15,21I (Delta)
seq_2304,2021-09-15,21J (Delta)
seq_2305,2021-09-19,21J (Delta)
seq_2306,2021-09-17,21J (Delta)
seq_2307,2021-09-17,21J (Delta)
seq_2308,2021-09-18,21I (Delta)
seq_2309,2021-09-17,21J (Delta)
seq_2310,2021-09-17,21J (Delta)
seq_2311,2021-09-18,21J (Delta)
seq_2312,2021-09-19,21J (Delta)
seq_2313,2021-09-15,21J (Delta)
seq_2314,2021-09-17,21J (Delta)
seq_2315,2021-09-17,21I (Delta)
seq_2316,2021-09-16,21J (Delta)
seq_2317,2021-09-17,21J (Delta)
seq_2318,2021-09-15,21J (Delta)
seq_2319,2021-09-18,21J (Delta)
seq_2320,2021-09-15,21J (Delta)
seq_2321,2021-09-19,21J (Delta)
seq_2322,2021-09-19,21J (Delta)
seq_2323,2021-09-17,21J (Delta)
seq_2324,2021-09-17,21J (Delta)
seq_2325,2021-09-18,21I (Delta)
seq_2326,2021-09-17,21J (Delta)
seq_2327,2021-09-14,21J (Delta)
seq_2328,2021-09-17,21J (Delta)
seq_2329,2021-09-17,21J (Delta)
seq_2330,2021-09-15,21J (Delta)
seq_2331,2021-09-15,21J (Delta)
seq_2332,2021-09-14,21J (Delta)
seq_2333,2021-09-15,21J (Delta)
seq_2334,2021-09-18,21J (Delta)
seq_2335,2021-09-19,21J (Delta)
seq_2336,2021-09-17,21J (Delta)
seq_2337,2021-09-17,21J (Delta)
seq_2338,2021-09-15,21J (Delta)
seq_2339,2021-09-17,21J (Delta)
seq_2340,2021-09-15,21J (Delta)
seq_2341,2021-09-17,21J (Delta)
seq_2342,2021-09-16,21J (Delta)
seq_2343,2021-09-17,21J (Delta)
seq_2344,2021-09-17,21J (Delta)
seq_2345,2021-09-17,21J (Delta)
seq_2346,2021-09-17,21J (Delta)
seq_2347,2021-09-17,21J (Delta)
seq_2348,2021-09-15,21J (Delta)
seq_2349,2021-09-17,21J (Delta)
seq_2350,2021-09-15,21J (Delta)
seq_2351,2021-09-19,21J (Delta)
seq_2352,2021-09-17,21J (Delta)
seq_2353,2021-09-15,21J (Delta)
seq_2354,2021-09-15,21J (Delta)
seq_2355,2021-09-15,21J (Delta)
seq_2356,2021-09-17,21J (Delta)
seq_2357,2021-09-15,21J (Delta)
seq_2358,2021-09-18,21J (Delta)
seq_2359,2021-09-15,21J (Delta)
seq_2360,2021-09-15,21J (Delta)
seq_2361,2021-09-19,21J (Delta)
seq_2362,2021-09-17,21J (Delta)
seq_2363,2021-09-15,21J (Delta)
seq_2364,2021-09-17,21J (Delta)
seq_2365,2021-09-19,21J (Delta)
